sentence,likelihood
Mm-hmm.,-11.2041015625
It's no big deal.,-11.205078125
"Well, you know.",-11.2080078125
What do you want for your birthday?,-11.208984375
Never mind.,-11.2109375
"Yeah, no.",-11.2109375
"Hello, Mr.",-11.21826171875
What's your favorite color?,-11.22265625
Hm.,-11.2265625
Where do you live?,-11.228515625
Why didn't you tell me?,-11.2301025390625
"Um, hello?",-11.2333984375
I do.,-11.234375
Fuck!,-11.234375
You guys!,-11.234375
What are you doing this weekend?,-11.23779296875
I'm here.,-11.2421875
I'm leaving.,-11.2421875
Babe!,-11.2421875
I'm so excited!,-11.2421875
Relax.,-11.24560546875
Who are you talking to?,-11.24609375
Sup?,-11.25
"Hi, Mom.",-11.25
Yup.,-11.25
"Hey, listen.",-11.25
Don't you get it?,-11.2503662109375
You can't do that!,-11.25390625
I can't breathe.,-11.2646484375
Uh-oh.,-11.265625
Hey everyone!,-11.265625
Quick!,-11.265625
Hold up.,-11.2734375
I have no idea.,-11.27734375
Help me!,-11.27734375
"Okay, you know what?",-11.2861328125
It doesn't matter.,-11.2880859375
Good morning!,-11.2890625
"Oh, wait.",-11.2890625
I don't know what to do.,-11.2890625
Hurry up!,-11.291015625
What am I gonna do?,-11.29144287109375
That's awesome!,-11.29296875
What does that even mean?,-11.2958984375
Momma!,-11.296875
Thank God!,-11.296875
"Hey, guess what?",-11.2998046875
"No, dude.",-11.30078125
I'll tell you what.,-11.30078125
"No, really.",-11.30078125
What are those?,-11.3046875
Not really.,-11.3046875
What are you waiting for?,-11.312255859375
What are you working on?,-11.3128662109375
Are you.,-11.31396484375
Are you going?,-11.31396484375
Are you hungry?,-11.31396484375
What's for breakfast?,-11.31640625
"Oh, you know what?",-11.3203125
Who is he?,-11.3203125
It's all right.,-11.3203125
Do you love me?,-11.322265625
Oh shit!,-11.328125
Did you see that?,-11.3291015625
I'm really sorry.,-11.3359375
"Whatever, man.",-11.33984375
Are you serious right now?,-11.342987060546875
This.,-11.34375
It's nothing.,-11.34375
Ohh!,-11.34375
What the hell is wrong with you?,-11.349609375
I'm.,-11.3515625
Do you like me?,-11.3515625
Gah!,-11.3515625
This is amazing.,-11.35546875
What are you doing now?,-11.35693359375
"Okay, okay.",-11.3642578125
"Oh, I know.",-11.3671875
Gosh!,-11.3671875
Who are these people?,-11.3671875
What is that smell?,-11.3671875
What do you mean by that?,-11.3681640625
"No, you know what?",-11.37109375
This is awesome!,-11.37109375
Sweet!,-11.375
Run!,-11.375
What are we gonna do?,-11.37890625
"Okay, great.",-11.3798828125
Where were you last night?,-11.380859375
"Wow, really?",-11.38671875
That's weird.,-11.38671875
What were you thinking?,-11.388671875
I mean.,-11.390625
Are you alright?,-11.39208984375
What can I do?,-11.392578125
"Who, me?",-11.396484375
Where do you think you're going?,-11.397705078125
Hahaha!,-11.3984375
I can't do this anymore.,-11.4013671875
"Well, why not?",-11.4033203125
What are you doing today?,-11.40380859375
Why do you care?,-11.40625
Sam!,-11.40625
What are they doing?,-11.40625
Just.,-11.40625
Can I talk to you?,-11.409423828125
I don't want to go.,-11.412109375
"No, it's okay.",-11.4130859375
Just do it!,-11.4140625
You're welcome.,-11.4140625
Forget it.,-11.4140625
Don't you know who I am?,-11.4156494140625
You okay?,-11.41796875
Darn!,-11.421875
Alex!,-11.421875
You did what?,-11.421875
Wah!,-11.421875
What about this one?,-11.421875
"Mommy, what are you doing?",-11.4228515625
Exactly!,-11.4296875
Oh my gawd!,-11.4296875
What are you up to?,-11.433349609375
Why are you wearing that?,-11.43359375
Hooray!,-11.433837890625
Where is she?,-11.4375
"Yeah, okay.",-11.4375
Yea!,-11.4375
Where did you come from?,-11.4375
Oi!,-11.4375
"You're kidding, right?",-11.443359375
Whaaaaat?,-11.4453125
Can we talk?,-11.4453125
"Oh, you know.",-11.4453125
"Yeah, you know what?",-11.4453125
Aah!,-11.4453125
How are you feeling?,-11.4462890625
No thank you.,-11.4462890625
Are you done?,-11.44677734375
Ooo!,-11.453125
Hi guys!,-11.453125
"Oh, I'm so sorry.",-11.453125
That's so cool!,-11.45703125
Can you believe this?,-11.45703125
How was your day?,-11.4609375
"Really, Mom?",-11.4609375
Noooooo!,-11.4609375
Isn't this great?,-11.46807861328125
It's over.,-11.46875
How could you do this to me?,-11.470703125
What are you going to wear?,-11.470703125
Don't do that.,-11.4710693359375
"No, I can't.",-11.4716796875
Are you all right?,-11.47216796875
"Yo, what's up?",-11.47265625
I'm good.,-11.4765625
"Mom, Mom!",-11.48046875
Who is this guy?,-11.48046875
That's ridiculous.,-11.48046875
What are you listening to?,-11.482666015625
Trust me.,-11.48779296875
What's this for?,-11.48828125
Where do you want to go?,-11.48828125
What's his name?,-11.49609375
What are you doing right now?,-11.4979248046875
Whaaaat?,-11.498046875
Welcome!,-11.5
What are you doing to me?,-11.50146484375
That's cute.,-11.50390625
That's so cute!,-11.50390625
I'm scared.,-11.5078125
"OK, fine.",-11.51171875
Sigh.,-11.515625
Tom!,-11.515625
Absolutely.,-11.515625
You know what's funny?,-11.5234375
Hell no!,-11.5234375
What do you want me to say?,-11.523529052734375
You're late!,-11.53125
I gotta go.,-11.53125
Wooo!,-11.53125
Where is everyone?,-11.53125
Are you ready to go?,-11.53271484375
What am I supposed to do?,-11.534088134765625
"Wait, wait, wait.",-11.5390625
"OK, cool.",-11.54296875
"Well, why?",-11.5439453125
I knew it!,-11.546875
What about this?,-11.546875
What's in it for me?,-11.546875
I understand.,-11.546875
Of course not.,-11.54931640625
Where have you been all my life?,-11.5499267578125
What are you writing?,-11.56005859375
I'm starving.,-11.5625
I just.,-11.5625
You know me.,-11.5625
Like.,-11.5625
Baby!,-11.5625
Totally!,-11.56591796875
Here's the deal.,-11.56640625
Ya know what?,-11.56640625
Why are you doing this to me?,-11.56640625
Motherfucker!,-11.5693359375
Jesus Christ!,-11.5703125
Ladies!,-11.5703125
"Yeah, totally.",-11.5703125
"Hey, how are you?",-11.5712890625
Phew!,-11.57421875
I'm so bored.,-11.578125
What are these?,-11.578125
No worries.,-11.5859375
Is this a joke?,-11.58984375
That's crazy!,-11.58984375
What you doing?,-11.59375
"Hey, dude.",-11.59375
Crap!,-11.59375
Don't you see?,-11.5960693359375
Is that it?,-11.59765625
"Okay, whatever.",-11.5986328125
No big deal.,-11.599609375
Remember me?,-11.6015625
Whaaaaaat?,-11.6015625
What's up with you?,-11.6015625
Where you been?,-11.6015625
Are you talking to me?,-11.603515625
You've got to be kidding.,-11.603515625
That's amazing!,-11.60546875
Why don't you like me?,-11.607330322265625
Ohhhh!,-11.609375
But Mr.,-11.6123046875
Where did you get this?,-11.615234375
What's with you?,-11.6171875
Go for it!,-11.6240234375
You know what would be great?,-11.625
Where you going?,-11.625
You know what you need?,-11.625
"Hey, how are you doing?",-11.6298828125
What are you doing out here?,-11.63037109375
"Come on, man.",-11.6328125
You're.,-11.6328125
"Oh, no, no, no.",-11.6328125
I'm cool.,-11.6328125
Why would you say that?,-11.63671875
See this?,-11.640625
You're gay?,-11.640625
I think so.,-11.640625
"I know, I know.",-11.640625
A girl?,-11.640625
Have you seen this?,-11.64306640625
Eek!,-11.64453125
"Oh, I see.",-11.6484375
"Hey, Mrs.",-11.64990234375
Are you stupid?,-11.64990234375
I don't know about this.,-11.65234375
Where is everybody?,-11.65234375
I don't believe you.,-11.65234375
This is so cool!,-11.65234375
Ready?,-11.65625
I'm a girl.,-11.65625
Who's he?,-11.65625
Jeez!,-11.65771484375
Wake up!,-11.6591796875
"No, man.",-11.66015625
That's not fair!,-11.66015625
May I help you?,-11.6612548828125
Snap!,-11.6640625
I'm not sure.,-11.6640625
"Yeah, dude.",-11.6640625
What the heck is this?,-11.6640625
"Hey, baby.",-11.6640625
Merry Christmas!,-11.66455078125
Do I know you?,-11.6669921875
There you go.,-11.66796875
I love this.,-11.671875
Mmmm.,-11.671875
What do you have?,-11.6728515625
What are you doing tomorrow?,-11.67724609375
I've got this.,-11.6796875
What does this mean?,-11.68359375
"I don't know, man.",-11.68359375
What's next?,-11.6875
I got it.,-11.6875
Ahhhh!,-11.6875
I'm okay.,-11.6953125
I'm black.,-11.6953125
Do what?,-11.6953125
What do you want for dinner?,-11.6962890625
What are you doing in here?,-11.69677734375
Why are you laughing?,-11.69921875
What do I do now?,-11.69921875
"Well, okay.",-11.7001953125
What took you so long?,-11.7025146484375
Ummmm.,-11.703125
"I'm sorry, what?",-11.703125
What did he say?,-11.703125
I want this.,-11.703125
Why would I do that?,-11.7041015625
"Yeah, I don't know.",-11.705810546875
What's wrong with it?,-11.70703125
Does this make me look fat?,-11.70703125
This is stupid.,-11.70703125
"Hey, you.",-11.7109375
I'm not.,-11.7109375
Hey everybody!,-11.7109375
"What, really?",-11.7109375
"Oh, what?",-11.7109375
You don't know?,-11.713134765625
What would you do?,-11.71484375
Come on guys!,-11.71484375
Who's she?,-11.71484375
I give up.,-11.71875
Auntie!,-11.71875
Oh well.,-11.71875
Oh yay!,-11.71875
But Mom!,-11.71875
"Well, what do you think?",-11.71875
"Hi, Mrs.",-11.7197265625
Did you hear that?,-11.7197265625
That's nice.,-11.72265625
"No, honey.",-11.72265625
What in the world?,-11.72412109375
I think I'm pregnant.,-11.7265625
It's.,-11.7265625
"No, you're not.",-11.73046875
"Mommy, why are you crying?",-11.7314453125
Are you sure you want to do this?,-11.73193359375
Can I touch your hair?,-11.732421875
What were you doing?,-11.736328125
"Mom, what's wrong?",-11.73828125
You know what you should do?,-11.73828125
Woo-hoo!,-11.739990234375
What do you want for Christmas?,-11.7431640625
Why are you looking at me like that?,-11.744140625
What do you do for a living?,-11.74462890625
What's he doing?,-11.74609375
What just happened?,-11.746337890625
W.,-11.75
Lady!,-11.75
What is he doing?,-11.75
You ready?,-11.75
How did I get here?,-11.75
You know what I think?,-11.75
Get off!,-11.75
"Well, Mrs.",-11.751220703125
"Oh, it's okay.",-11.751953125
"Mom, you don't understand.",-11.7530517578125
"Mom, what are you talking about?",-11.75360107421875
How can you do that?,-11.75390625
"Whatever, dude.",-11.75390625
Why do you hate me?,-11.7578125
Do you need help?,-11.7578125
"Umm, no.",-11.7578125
Whoo!,-11.7578125
What are you doing over there?,-11.75927734375
Pssst!,-11.76171875
"Mom, look!",-11.76171875
"No, it's fine.",-11.7646484375
"Sure, why not?",-11.7646484375
Whew!,-11.765625
What should we do?,-11.765625
What are you thinking about?,-11.76708984375
"Oh, no, no.",-11.76953125
I can't help it.,-11.7763671875
How dare you?,-11.77685546875
That's OK.,-11.77734375
I just don't know.,-11.7783203125
Eww!,-11.78125
Look at you!,-11.78125
John!,-11.78125
I'm not hungry.,-11.78125
I know you.,-11.78125
What does it mean?,-11.78125
What are you doing there?,-11.78662109375
Can I come in?,-11.7890625
I quit!,-11.7890625
"Hey, honey.",-11.7890625
It's not fair!,-11.7890625
Come on in!,-11.79296875
Where did you go?,-11.794921875
"Mommy, Mommy!",-11.79498291015625
Are you going to eat that?,-11.79541015625
"No, I don't think so.",-11.7957763671875
Go on.,-11.796875
Never!,-11.796875
What do you want to eat?,-11.7978515625
What are you guys doing here?,-11.79833984375
Are you insane?,-11.80224609375
"Um, okay.",-11.8037109375
Can I ask you something?,-11.8037109375
Shoot!,-11.8046875
"Oh, thank you.",-11.80859375
Jason!,-11.8125
Ack!,-11.8125
Why is that?,-11.8125
Amy!,-11.8125
Wh.,-11.8125
What do you know?,-11.8134765625
It's O.,-11.814453125
"Yeah, what's up?",-11.81640625
"Yes, yes.",-11.81640625
"Oh, I get it.",-11.81640625
I'm not doing that.,-11.8203125
What are we doing here?,-11.8203125
Be careful.,-11.8203125
I can't sleep.,-11.8271484375
How can you say that?,-11.828125
Rachel!,-11.828125
0.,-11.828125
Why do you do that?,-11.828125
What's in the box?,-11.828125
"Hey, Dr.",-11.83056640625
Close your eyes.,-11.833984375
How should I know?,-11.83447265625
YOLO!,-11.8359375
Is that you?,-11.8359375
You're kidding.,-11.8359375
You're pregnant?,-11.8359375
What's for lunch?,-11.8359375
Are you joking?,-11.83740234375
How do you know this?,-11.837890625
Don't.,-11.8382568359375
I don't like you.,-11.83984375
What did you get?,-11.841796875
Get up!,-11.84375
Hey girl!,-11.84375
A.,-11.84375
I have an idea.,-11.84375
What's the worst that could happen?,-11.8448486328125
How did you know that?,-11.845703125
What did you just say?,-11.845703125
That's right.,-11.84765625
"Mom, really?",-11.84765625
I miss you.,-11.84765625
Why do you want to know?,-11.84765625
Can I sit here?,-11.849609375
Get out of my house!,-11.8515625
Do I look fat in this?,-11.8515625
Tell you what.,-11.853271484375
We need to talk.,-11.853515625
"No, no, no, no.",-11.857421875
Come with me.,-11.8583984375
I'll see you later.,-11.8583984375
Who am I?,-11.859222412109375
Matt!,-11.859375
I'm gay.,-11.859375
Sooo.,-11.859375
Aaah!,-11.859375
Oooo!,-11.859375
"No, wait.",-11.86328125
What are you writing about?,-11.86474609375
You're so lucky.,-11.8671875
Do you mind?,-11.8671875
"Mom, stop!",-11.87109375
You're so cute!,-11.875
Where are they?,-11.875
Can I?,-11.875
"You know what, guys?",-11.876953125
Don't be silly.,-11.8773193359375
LOL!,-11.87890625
Oooooh!,-11.8828125
I'm ready.,-11.8828125
I'm serious.,-11.8828125
Why am I here?,-11.88427734375
Slow down!,-11.884765625
I'm outta here!,-11.88916015625
Why are you telling me this?,-11.8896484375
Jack!,-11.890625
Get off my lawn!,-11.890625
Come in.,-11.890625
"Hey, what's wrong?",-11.890625
"Mom, it's okay.",-11.892578125
What happened to your hair?,-11.89453125
Are you drunk?,-11.89599609375
I have to go.,-11.8984375
I'm just kidding.,-11.8984375
"Oh, sure.",-11.8984375
Why are you calling me?,-11.90234375
"Yeah, why not?",-11.90234375
"Okay, yeah.",-11.9033203125
You know what would be cool?,-11.904296875
So what do you do?,-11.9052734375
I can't wait!,-11.9052734375
What do you want from me?,-11.90576171875
Christ!,-11.90625
Now what?,-11.90625
Hey there!,-11.90625
Ay!,-11.90625
1.,-11.90625
Bah!,-11.90625
I'll be back.,-11.90625
"Oh, Dr.",-11.91064453125
I'm so hungry.,-11.9140625
Do you like it?,-11.9140625
Who knows?,-11.9140625
What's my name?,-11.9140625
What are you trying to do?,-11.915771484375
Oh crap!,-11.921875
Whaaaa?,-11.921875
Shhh!,-11.921875
What the heck is that?,-11.921875
Can I hug you?,-11.92529296875
Dammit!,-11.92578125
This is me.,-11.92578125
"Yes, I know.",-11.92578125
Why are you talking to me?,-11.927734375
"Well, what do you want to do?",-11.9296875
What was I thinking?,-11.9296875
What happened here?,-11.9296875
"Wait, wait.",-11.931640625
What's going on with you?,-11.932861328125
Why am I doing this?,-11.93310546875
"Come on, let's go!",-11.934326171875
Are you nervous?,-11.93505859375
I'm so proud of you.,-11.9365234375
Ya!,-11.9375
"Oh, no way!",-11.9375
Are you pregnant?,-11.94287109375
Are you nuts?,-11.94287109375
Do you know what this is?,-11.943359375
You're my best friend.,-11.94384765625
Do you want fries with that?,-11.94384765625
I'm sick.,-11.9453125
What am I going to wear?,-11.94830322265625
I don't like this.,-11.94921875
What are you making?,-11.95068359375
You don't get it.,-11.951416015625
Rick!,-11.953125
My goodness!,-11.953125
Mary!,-11.953125
"Oh, fine.",-11.953125
"Well, duh.",-11.958984375
What are you talkin' about?,-11.9599609375
I did it!,-11.9609375
"OK, Mr.",-11.961181640625
Are you crying?,-11.96240234375
Why so serious?,-11.96484375
How did you get here?,-11.966796875
I don't want to do that.,-11.966796875
"Oh, Ms.",-11.968017578125
What else?,-11.96875
You can do it!,-11.96875
Get outta here!,-11.970703125
Why are you so quiet?,-11.97265625
That's.,-11.97265625
Hell yeah!,-11.9765625
Que?,-11.9765625
"Hi, what's up?",-11.9765625
"Come on, Mom.",-11.9765625
How you doin'?,-11.97802734375
I'm going to kill you!,-11.97900390625
Let's do this!,-11.98046875
How did this happen?,-11.98046875
"Mom, no.",-11.98046875
